2023-10-07 18:16:20,203 [restartedMain] INFO  o.s.b.a.h2.H2ConsoleAutoConfiguration              - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:jrtpdb'
2023-10-07 18:16:20,337 [restartedMain] INFO  o.hibernate.jpa.internal.util.LogHelper            - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-10-07 18:16:20,384 [restartedMain] INFO  org.hibernate.Version                              - HHH000412: Hibernate ORM core version 6.2.9.Final
2023-10-07 18:16:20,386 [restartedMain] INFO  org.hibernate.cfg.Environment                      - HHH000406: Using bytecode reflection optimizer
2023-10-07 18:16:20,511 [restartedMain] INFO  o.h.b.internal.BytecodeProviderInitiator           - HHH000021: Bytecode provider name : bytebuddy
2023-10-07 18:16:20,629 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo                - No LoadTimeWeaver setup: ignoring JPA class transformer
2023-10-07 18:16:20,866 [restartedMain] INFO  o.h.b.internal.BytecodeProviderInitiator           - HHH000021: Bytecode provider name : bytebuddy
2023-10-07 18:16:21,486 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator                 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-10-07 18:16:21,522 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-10-07 18:16:21,761 [restartedMain] INFO  o.s.d.j.r.query.QueryEnhancerFactory               - Hibernate is in classpath; If applicable, HQL parser will be used.
2023-10-07 18:16:22,093 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-10-07 18:16:22,207 [restartedMain] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping              - Adding welcome page template: index
2023-10-07 18:16:22,394 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer                 - LiveReload server is running on port 35729
2023-10-07 18:16:22,412 [restartedMain] INFO  o.apache.coyote.http11.Http11NioProtocol           - Starting ProtocolHandler ["http-nio-8080"]
2023-10-07 18:16:22,433 [restartedMain] INFO  o.s.b.w.embedded.tomcat.TomcatWebServer            - Tomcat started on port(s): 8080 (http) with context path ''
2023-10-07 18:16:22,442 [restartedMain] INFO  c.e.d.MiniProject1UserManagementApplication        - Started MiniProject1UserManagementApplication in 4.174 seconds (process running for 5.191)
2023-10-07 18:16:25,230 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 11 class path changes (3 additions, 0 deletions, 8 modifications)
2023-10-07 18:16:25,245 [Thread-6] INFO  o.apache.coyote.http11.Http11NioProtocol           - Pausing ProtocolHandler ["http-nio-8080"]
2023-10-07 18:16:25,245 [Thread-6] INFO  o.apache.catalina.core.StandardService             - Stopping service [Tomcat]
2023-10-07 18:16:25,249 [Thread-6] INFO  o.apache.coyote.http11.Http11NioProtocol           - Stopping ProtocolHandler ["http-nio-8080"]
2023-10-07 18:16:25,251 [Thread-6] INFO  o.apache.coyote.http11.Http11NioProtocol           - Destroying ProtocolHandler ["http-nio-8080"]
2023-10-07 18:16:25,253 [Thread-6] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-10-07 18:16:25,460 [Thread-6] WARN  o.s.b.f.support.DisposableBeanAdapter              - Invocation of destroy method failed on bean with name 'inMemoryDatabaseShutdownExecutor': org.h2.jdbc.JdbcSQLNonTransientConnectionException: Database is already closed (to disable automatic closing at VM shutdown, add ";DB_CLOSE_ON_EXIT=FALSE" to the db URL) [90121-214]
2023-10-07 18:16:25,460 [Thread-6] INFO  com.zaxxer.hikari.HikariDataSource                 - HikariPool-1 - Shutdown initiated...
2023-10-07 18:16:25,462 [Thread-6] INFO  com.zaxxer.hikari.HikariDataSource                 - HikariPool-1 - Shutdown completed.
2023-10-07 18:16:25,533 [restartedMain] INFO  c.e.d.MiniProject1UserManagementApplication        - Starting MiniProject1UserManagementApplication using Java 19.0.2 with PID 8472 (D:\AshokIT\Projects\MiniProject1\MiniProject-1-UserManagement\target\classes started by satis in D:\AshokIT\Projects\MiniProject1\MiniProject-1-UserManagement)
